"id","hangul","romanization","current_meaning","corrected_meaning","notes"
"w_beon","번","beon","Number, how many times","",""
"w_geugeo","그거","geugeo","That thing","",""
"w_don","돈","don","Money","",""
"w_geureonde","그런데","geureonde","now  then","",""
"w_nal","날","nal","Day","",""
"w_yeogi","여기","yeogi","finicky in a bad way","",""
"w_modu","모두","modu","everything","",""
"w_chingu","친구","chingu","matey","",""
"w_maeum","마음","maeum","Heart","",""
"w_hu","후","hu","After","",""
"w_nota","놓다","nota","to set free, to liberate","",""
"w_abeoji","아버지","abeoji","Father","",""
"w_namja","남자","namja","Boy","",""
"w_eodi","어디","eodi","Where?","",""
"w_mom","몸","mom","body,physique","",""
"w_eolgul","얼굴","eolgul","Face","",""
"w_deureogada","들어가다","deureogada","walk","",""
"w_wae","왜","wae","Why?","",""
"w_malda","말다","malda","Roll up, convolve","",""
"w_dareuda","다르다","dareuda","Be different","",""
"w_mul","물","mul","the color of something","",""
"w_mannada","만나다","mannada","Meet","",""
"w_naeda","내다","naeda","shed","",""
"w_sseuda","쓰다","sseuda","write","",""
"w_igeot","이것","igeot","This thing","",""
"w_ibeon","이번","ibeon","this time; soon; recently","",""
"w_gil","길","gil","Road","",""
"w_saenghwal","생활","saenghwal","lifestyle,livelihood","",""
"w_jigeum","지금","jigeum","Now","",""
"w_sai","사이","sai","space between 2 points; the relationship between 2 people","",""
"w_urinara","우리나라","urinara","Korea","",""
"w_anda","앉다","anda","light","",""
"w_cheoeum","처음","cheoeum","First","",""
"w_son","손","son","donny","",""
"w_myeot","몇","myeot","A few","",""
"w_geuttae","그때","geuttae","Then or  at that time","",""
"w_chatda","찾다","chatda","search","",""
"w_si","시","si","Poetry, lines of verse","",""
"w_nagada","나가다","nagada","To advance, proceed, go forward","",""
"w_iyagi","이야기","iyagi","song","",""
"w_sada","사다","sada","to incur, to cause to happen to o.s.","",""
"w_ajik","아직","ajik","Still","",""
"w_japda","잡다","japda","catch","",""
"w_gachi","같이","gachi","Together","",""
"w_seonsaengnim","선생님","seonsaengnim","Teacher","",""
"w_seoda","서다","seoda","sleep","",""
"w_mot","못","mot","A nail","",""
"w_yeoksa","역사","yeoksa","the train station building","",""
"w_ikda","읽다","ikda","sense","",""
"w_ije","이제","ije","Now","",""
"w_mullon","물론","mullon","Of course","",""
"w_dongan","동안","dongan","for, through, throughout (a period of time)","",""
"w_chaek","책","chaek","A book","",""
"w_ireonada","일어나다","ireonada","To rise, get up","",""
"w_sijang","시장","sijang","Mayor","",""
"w_neota","넣다","neota","to put/pour/set/insert/thrust/pack/stuff into; to allow or admit in; to count among; to use (a person) as a mediator","",""
"w_jungyohada","중요하다","jungyohada","To be important,weighty","",""
"w_museun","무슨","museun","What, what kind of","",""
"w_eoryeopda","어렵다","eoryeopda","to be hard","",""
"w_him","힘","him","Power","",""
"w_neomu","너무","neomu","Too much","",""
"w_nara","나라","nara","A country","",""
"w_bureuda","부르다","bureuda","To be full","",""
"w_jari","자리","jari","seat,spot","",""
"w_jukda","죽다","jukda","to die","",""
"w_jjok","쪽","jjok","A portion, a side","",""
"w_yaegi","얘기","yaegi","Story","",""
"w_haksaeng","학생","haksaeng","Student","",""
"w_eomma","엄마","eomma","ma","",""
"w_ireum","이름","ireum","forename","",""
"w_naerida","내리다","naerida","lower, bring lower","",""
"w_swipda","쉽다","swipda","To be easy","",""
"w_pillyohada","필요하다","pillyohada","To need","",""
"w_saenggida","생기다","saenggida","arise,occur,happen","",""
"w_sayonghada","사용하다","sayonghada","To use, to use for a specific purpose","",""
"w_nampyeon","남편","nampyeon","Husband","",""
"w_deureooda","들어오다","deureooda","to come into, to go into (a room, place)","",""
"w_bak","밖","bak","The outside","",""
"w_jakda","작다","jakda","Small (in stature) 적다: of small volume","",""
"w_tada","타다","tada","Burn, blaze (firewood)","",""
"w_daehak","대학","daehak","University","",""
"w_gaunde","가운데","gaunde","In the middle","",""
"w_bonaeda","보내다","bonaeda","lead","",""
"w_aju","아주","aju","Extremely","",""
"w_bam","밤","bam","Chestnut","",""
"w_nopda","높다","nopda","High","",""
"w_keompyuteo","컴퓨터","keompyuteo","Computer","",""
"w_meonjeo","먼저","meonjeo","First","",""
"w_danida","다니다","danida","Go to and from a aplace","",""
"w_eolmana","얼마나","eolmana","How many, how much ;  very","",""
"w_yeolda","열다","yeolda","open","",""
"w_meori","머리","meori","acrolith","",""
"w_mutda","묻다","mutda","to Stain","",""
"w_geogi","거기","geogi","There (location)","",""
"w_adeul","아들","adeul","son,baby","",""
"w_a","아","a","Oh dear","",""
"w_gidarida","기다리다","gidarida","To wait","",""
"w_bun","분","bun","Minutes","",""
"w_got_2","곧","got","Soon","",""
"w_oneul","오늘","oneul","Today","",""
"w_seoro","서로","seoro","mutually,one another","",""
"w_igeo","이거","igeo","This thing","",""
